County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Adams,28537,28459,28293,28089,28066,27926,27807,27753,27694,27698
Allen,106358,105988,105244,105055,104848,104095,103613,103093,102725,102351
Ashland,53321,53252,53239,53153,53161,53310,53520,53662,53706,53484
Ashtabula,101403,101085,100252,99746,99027,98404,98171,97748,97587,97241
Athens,65173,65079,64610,64594,64783,65886,66352,66503,65519,65327
Auglaize,45898,45741,45770,45801,45737,45734,45766,45753,45736,45656
Belmont,70333,70122,69709,69563,69367,68973,68606,68002,67533,67006
Brown,44863,44629,44281,44111,43933,43697,43638,43523,43570,43432
Butler,369102,370123,370550,371395,373750,375998,378354,380607,382000,383134
Carroll,28846,28820,28538,28257,28129,27718,27621,27324,27082,26914
Champaign,40078,39824,39573,39461,39078,38963,38741,38851,38785,38885
Clark,138274,137811,137171,136638,136311,135746,134723,134549,134528,134083
Clermont,197604,198859,199487,200447,201454,201995,203165,204260,205526,206428
Clinton,41922,41913,41819,41864,41805,41839,41887,42004,42085,41968
Columbiana,107890,107419,106620,105959,105621,104714,103817,103062,102473,101883
Coshocton,36938,36931,36823,36723,36531,36577,36617,36536,36596,36600
Crawford,43754,43310,42776,42713,42407,42324,42095,41710,41484,41494
Cuyahoga,1278088,1270331,1266106,1265442,1263201,1258739,1254144,1247581,1241718,1235072
Darke,52963,52653,52515,52306,52184,51981,51624,51549,51299,51113
Defiance,39082,39005,38827,38564,38525,38326,38140,38156,38089,38087
Delaware,175099,178535,181127,185380,189440,193391,197144,200870,205091,209177
Erie,76978,76687,76428,76053,75809,75360,74999,74760,74513,74266
Fairfield,146417,147174,147301,148796,150360,151254,152789,154686,155982,157574
Fayette,29014,28867,28767,28686,28650,28611,28670,28639,28653,28525
Franklin,1166202,1180800,1199045,1218878,1238362,1257386,1274450,1295510,1307698,1316756
Fulton,42629,42363,42330,42199,42403,42301,42306,42265,42267,42126
Gallia,31072,31031,30886,30685,30463,30249,30186,30162,29945,29898
Geauga,93389,93292,93771,93846,93979,93894,93845,93881,93945,93649
Greene,161588,163566,164335,163907,164673,164272,165290,166566,167446,168937
Guernsey,40155,39910,39876,39706,39690,39392,39211,39066,39011,38875
Hamilton,802278,800658,802409,805182,807617,809527,811332,814170,815445,817473
Hancock,74689,74912,75459,75581,75281,75678,75831,75973,75920,75783
Hardin,32127,31806,31632,31747,31784,31616,31398,31329,31418,31365
Harrison,15825,15790,15684,15602,15519,15395,15252,15202,15167,15040
Henry,28171,28002,27824,27824,27597,27481,27282,27179,27091,27006
Highland,43621,43378,42964,43195,43093,42960,43006,42903,43052,43161
Hocking,29478,29466,29304,28653,28743,28500,28393,28436,28357,28264
Holmes,42473,42793,43128,43604,43788,43882,43847,43895,43919,43960
Huron,59560,59416,59204,58825,58610,58307,58367,58393,58364,58266
Jackson,33248,33124,32869,32801,32761,32559,32528,32386,32366,32413
Jefferson,69670,69035,68538,68168,67876,67495,66944,66318,65774,65325
Knox,61090,61283,60764,60858,61000,61001,60909,61271,61900,62322
Lake,230014,229988,229564,230075,229857,229836,229525,230159,230102,230149
Lawrence,62424,62415,62146,61858,61539,60923,60691,60075,59767,59463
Licking,166705,167164,167589,168461,169410,170611,171993,173617,175666,176862
Logan,45743,45623,45410,45393,45473,45250,45128,45198,45332,45672
Lorain,301478,301874,301712,303098,304464,305417,306607,307441,309052,309833
Lucas,441434,439359,436753,436156,434585,433633,432879,431039,429612,428348
Madison,43434,43114,42991,43256,43980,44139,43377,44041,44389,44731
Mahoning,238381,237363,235702,234393,233391,231846,230269,229791,229216,228683
Marion,66458,66599,66277,65964,65791,65431,65467,65076,65427,65093
Medina,172509,173504,173623,174639,175855,176126,176876,178176,178978,179746
Meigs,23731,23648,23572,23443,23277,23180,23166,23071,23064,22907
Mercer,40788,40715,40705,40615,40730,40723,40715,40858,40952,41172
Miami,102487,102734,102934,103213,103856,104075,104553,105200,106042,106987
Monroe,14609,14613,14502,14503,14357,14253,14083,13931,13787,13654
Montgomery,535597,534558,534334,534270,532488,531777,531818,531467,531600,531687
Morgan,15034,15036,14930,14894,14730,14735,14733,14644,14581,14508
Morrow,34790,34810,34834,34846,34937,34943,34922,34911,35113,35328
Muskingum,86214,86243,85794,85649,85905,86194,85993,86123,86131,86215
Noble,14660,14752,14677,14678,14532,14467,14441,14400,14347,14424
Ottawa,41359,41320,41242,41035,40903,40754,40488,40623,40769,40525
Paulding,19557,19369,19248,19143,18975,18959,18839,18831,18742,18672
Perry,36037,36232,35984,36000,35926,35967,35998,35972,36039,36134
Pickaway,55740,55948,56237,56355,56704,56989,57545,57740,58077,58457
Pike,28612,28479,28371,28272,28181,28117,28093,28088,27932,27772
Portage,161386,161875,161383,161695,162463,162594,162521,162473,162502,162466
Preble,42170,41986,41812,41671,41495,41297,41157,41116,41011,40882
Putnam,34476,34385,34207,34123,34198,34026,34007,33860,33802,33861
Richland,124162,123144,122633,122314,121999,121688,121242,120430,120987,121154
Ross,78098,77581,77341,77283,77095,77049,76848,77295,76884,76666
Sandusky,60885,60609,60467,60049,59827,59475,59317,59093,58740,58518
Scioto,79664,79408,78783,78304,77476,76992,76436,75976,75480,75314
Seneca,56618,56522,56106,55847,55803,55650,55467,55267,55194,55178
Shelby,49349,49259,49159,49203,48995,49030,48765,48738,48622,48590
Stark,375372,374511,374891,375108,375546,374715,373447,372003,371248,370606
Summit,541645,541325,540726,541926,542445,541788,541003,541514,541353,541013
Trumbull,209840,208834,207191,206328,204973,203328,201715,200281,198539,197974
Tuscarawas,92543,92483,92413,92602,92652,92739,92560,92308,92079,91987
Union,52464,53095,52796,53436,53773,54388,55581,56798,57782,58988
Van Wert,28678,28625,28636,28347,28334,28319,28177,28283,28253,28275
Vinton,13405,13380,13221,13303,13210,13082,13022,13082,13145,13085
Warren,213429,215332,217212,219216,221267,223864,226539,228709,231945,234602
Washington,61713,61607,61447,61364,61160,61020,60598,60491,60111,59911
Wayne,114394,114649,115029,115400,115912,116214,116613,116168,115790,115710
Williams,37512,37584,37521,37426,37195,37007,36937,36707,36739,36692
Wood,125950,127124,128425,129013,129337,129285,129768,130437,130441,130817
Wyandot,22588,22643,22545,22460,22283,22176,22071,22063,21918,21772
